epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2081.51,0.71002,0.45098,0.88711,0.97772,0.97914,0.98936,0.87911,0.52426,0.34,0.82308,0.000270316,0.000270316,0.000270316
43,2131.07,0.71399,0.45658,0.88898,0.97828,0.98212,0.98883,0.87697,0.5342,0.34627,0.82273,0.000265811,0.000265811,0.000265811
44,2180.65,0.71112,0.4543,0.88937,0.97701,0.97716,0.98817,0.8774,0.52968,0.34413,0.82191,0.000261307,0.000261307,0.000261307
45,2230.26,0.70719,0.44662,0.88439,0.97717,0.98138,0.98937,0.87989,0.51941,0.3362,0.8211,0.000256802,0.000256802,0.000256802
46,2279.91,0.70506,0.44242,0.88389,0.98328,0.98317,0.98923,0.87972,0.52664,0.33211,0.82243,0.000252298,0.000252298,0.000252298
47,2329.53,0.70367,0.4422,0.88391,0.97998,0.97725,0.98846,0.8795,0.52193,0.3348,0.82184,0.000247793,0.000247793,0.000247793
48,2379.11,0.69503,0.43475,0.88167,0.98177,0.98211,0.98927,0.88467,0.51169,0.33013,0.81977,0.000243289,0.000243289,0.000243289
49,2428.69,0.69991,0.435,0.88259,0.98008,0.97913,0.98812,0.87893,0.53373,0.33591,0.82132,0.000238784,0.000238784,0.000238784
50,2478.27,0.68586,0.42933,0.88004,0.98277,0.97647,0.98793,0.87977,0.52244,0.33321,0.82071,0.00023428,0.00023428,0.00023428
51,2527.92,0.68041,0.42908,0.87915,0.97755,0.98039,0.98757,0.87524,0.53139,0.34041,0.82317,0.000229775,0.000229775,0.000229775
52,2577.49,0.69044,0.43127,0.88013,0.98295,0.98205,0.98846,0.88081,0.51494,0.3274,0.8205,0.00022527,0.00022527,0.00022527
53,2627.04,0.68733,0.42565,0.88183,0.97901,0.98079,0.98889,0.88143,0.51659,0.33132,0.82102,0.000220766,0.000220766,0.000220766
54,2676.49,0.67873,0.41845,0.87835,0.98678,0.98211,0.99002,0.88224,0.52918,0.3209,0.82147,0.000216261,0.000216261,0.000216261
55,2726.09,0.67876,0.42214,0.87655,0.98103,0.97737,0.98871,0.88492,0.50803,0.32971,0.82028,0.000211757,0.000211757,0.000211757
56,2775.76,0.67407,0.41732,0.87747,0.98085,0.97959,0.989,0.88025,0.52233,0.32829,0.81932,0.000207252,0.000207252,0.000207252
57,2825.23,0.6687,0.41504,0.87686,0.98024,0.98203,0.98856,0.8872,0.51327,0.32378,0.81893,0.000202748,0.000202748,0.000202748
58,2874.83,0.67415,0.41669,0.8774,0.98025,0.98272,0.9883,0.88409,0.51766,0.3201,0.81909,0.000198244,0.000198244,0.000198244
59,2924.34,0.65962,0.40871,0.87401,0.98186,0.97614,0.98717,0.88099,0.51777,0.33125,0.82042,0.000193739,0.000193739,0.000193739
60,2973.88,0.66767,0.40526,0.8732,0.98286,0.97936,0.98898,0.8847,0.51365,0.31927,0.81808,0.000189235,0.000189235,0.000189235
61,3023.33,0.66164,0.40294,0.87492,0.97876,0.98079,0.98733,0.8887,0.50736,0.31836,0.81728,0.00018473,0.00018473,0.00018473
62,3072.78,0.6576,0.40079,0.87115,0.98291,0.98188,0.98907,0.88711,0.50995,0.31641,0.81842,0.000180226,0.000180226,0.000180226
63,3122.16,0.65339,0.39999,0.87054,0.98473,0.98217,0.98876,0.88476,0.52089,0.3121,0.81938,0.000175721,0.000175721,0.000175721
64,3171.68,0.65153,0.39904,0.87137,0.98634,0.97875,0.98911,0.88956,0.51073,0.31032,0.81784,0.000171217,0.000171217,0.000171217
65,3221.08,0.65245,0.39835,0.87136,0.98158,0.98514,0.99001,0.88564,0.52079,0.31122,0.82068,0.000166712,0.000166712,0.000166712
66,3270.5,0.6469,0.39816,0.86943,0.97959,0.98325,0.98928,0.88651,0.51148,0.31533,0.81905,0.000162207,0.000162207,0.000162207
67,3319.97,0.64599,0.39364,0.86782,0.98069,0.98074,0.98873,0.88753,0.51845,0.31543,0.81962,0.000157703,0.000157703,0.000157703
68,3369.46,0.64995,0.3948,0.87052,0.985,0.98057,0.98979,0.89062,0.50143,0.3075,0.81763,0.000153198,0.000153198,0.000153198
69,3418.92,0.64228,0.40242,0.86981,0.98027,0.98005,0.98954,0.89222,0.5011,0.31188,0.81752,0.000148694,0.000148694,0.000148694
70,3468.3,0.63985,0.39096,0.86823,0.98274,0.9803,0.98997,0.89108,0.50748,0.30682,0.81725,0.00014419,0.00014419,0.00014419
