epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4133.38,0.54931,0.36749,0.87045,0.98499,0.97912,0.99065,0.88907,0.51698,0.33702,0.85408,0.000270316,0.000270316,0.000270316
43,4231.98,0.55294,0.36567,0.87332,0.97798,0.97987,0.98934,0.89012,0.51862,0.33189,0.85303,0.000265811,0.000265811,0.000265811
44,4330.53,0.55412,0.35784,0.86233,0.98667,0.97666,0.99039,0.89123,0.51497,0.32134,0.85026,0.000261307,0.000261307,0.000261307
45,4429.4,0.55112,0.35724,0.86134,0.98197,0.98061,0.99002,0.88694,0.53146,0.32441,0.85253,0.000256802,0.000256802,0.000256802
46,4527.62,0.54077,0.34456,0.8608,0.98418,0.98111,0.99007,0.88912,0.52422,0.32418,0.85205,0.000252298,0.000252298,0.000252298
47,4625.81,0.53671,0.34174,0.8627,0.9814,0.97837,0.98915,0.89327,0.50429,0.31494,0.85194,0.000247793,0.000247793,0.000247793
48,4724.32,0.54113,0.34553,0.86607,0.98315,0.97867,0.98987,0.88891,0.51584,0.32227,0.84924,0.000243289,0.000243289,0.000243289
49,4822.45,0.53171,0.34335,0.85934,0.98238,0.9834,0.991,0.89159,0.51437,0.31195,0.84901,0.000238784,0.000238784,0.000238784
50,4920.71,0.54474,0.34474,0.86298,0.9859,0.98144,0.99046,0.89606,0.51169,0.30413,0.84754,0.00023428,0.00023428,0.00023428
51,5019.25,0.52368,0.3286,0.85298,0.98562,0.98078,0.99019,0.8969,0.50714,0.31352,0.84352,0.000229775,0.000229775,0.000229775
52,5118.17,0.53305,0.34727,0.86326,0.98466,0.97763,0.98957,0.88791,0.51577,0.31511,0.84959,0.00022527,0.00022527,0.00022527
53,5216.44,0.52881,0.34001,0.86082,0.98294,0.98571,0.98961,0.88813,0.51351,0.30838,0.85216,0.000220766,0.000220766,0.000220766
54,5314.65,0.5224,0.33512,0.85917,0.9871,0.98184,0.99039,0.89376,0.50889,0.3093,0.84975,0.000216261,0.000216261,0.000216261
55,5412.98,0.51455,0.32948,0.85439,0.98389,0.98047,0.98946,0.89487,0.49969,0.31196,0.8484,0.000211757,0.000211757,0.000211757
56,5511.15,0.5088,0.33235,0.85237,0.98643,0.98146,0.98848,0.89015,0.51224,0.30962,0.84714,0.000207252,0.000207252,0.000207252
57,5609.36,0.51314,0.32206,0.85477,0.9836,0.98513,0.99005,0.89662,0.49807,0.31218,0.84372,0.000202748,0.000202748,0.000202748
58,5707.54,0.52078,0.3283,0.86114,0.98118,0.9865,0.98898,0.89516,0.50586,0.30167,0.84863,0.000198244,0.000198244,0.000198244
59,5805.78,0.50038,0.31336,0.85182,0.98137,0.98414,0.9896,0.89611,0.49928,0.30491,0.84576,0.000193739,0.000193739,0.000193739
60,5903.96,0.50297,0.31301,0.85318,0.98565,0.97931,0.98973,0.89161,0.49982,0.30863,0.84356,0.000189235,0.000189235,0.000189235
61,6002.19,0.50291,0.31643,0.85013,0.9824,0.98364,0.99007,0.89349,0.5127,0.30298,0.84454,0.00018473,0.00018473,0.00018473
62,6100.44,0.49612,0.31571,0.84974,0.98661,0.98477,0.99145,0.89814,0.49861,0.29339,0.8461,0.000180226,0.000180226,0.000180226
63,6199.3,0.49381,0.3126,0.85029,0.98417,0.98437,0.99147,0.89618,0.50181,0.29453,0.84585,0.000175721,0.000175721,0.000175721
64,6297.4,0.49207,0.30978,0.85192,0.98065,0.98593,0.99028,0.90226,0.48996,0.29405,0.84416,0.000171217,0.000171217,0.000171217
65,6396.04,0.48612,0.30249,0.85019,0.97684,0.98413,0.98898,0.89878,0.48867,0.30287,0.84067,0.000166712,0.000166712,0.000166712
66,6494.21,0.49382,0.30675,0.85126,0.98311,0.98381,0.99001,0.90086,0.49281,0.29684,0.83746,0.000162207,0.000162207,0.000162207
67,6592.43,0.49721,0.30811,0.85229,0.98553,0.98415,0.98883,0.90093,0.48796,0.29643,0.83999,0.000157703,0.000157703,0.000157703
68,6690.64,0.48134,0.3042,0.84645,0.98342,0.98048,0.98927,0.90078,0.49125,0.29516,0.83947,0.000153198,0.000153198,0.000153198
69,6788.88,0.48536,0.29773,0.84652,0.98162,0.98107,0.98987,0.89933,0.49402,0.30347,0.83785,0.000148694,0.000148694,0.000148694
70,6887.05,0.47981,0.29574,0.84781,0.98734,0.9852,0.991,0.90412,0.48412,0.28247,0.844,0.00014419,0.00014419,0.00014419
71,6986.03,0.47174,0.28965,0.84578,0.98742,0.9862,0.99123,0.90718,0.4807,0.28299,0.83841,0.000139685,0.000139685,0.000139685
72,7084.96,0.46918,0.29173,0.83894,0.98602,0.98409,0.99037,0.90668,0.4883,0.28328,0.83885,0.000135181,0.000135181,0.000135181
73,7183.23,0.46496,0.28405,0.84315,0.98571,0.98193,0.99032,0.90697,0.48541,0.28753,0.84386,0.000130676,0.000130676,0.000130676
74,7281.26,0.47237,0.29606,0.8451,0.98355,0.98102,0.99006,0.90214,0.48433,0.29606,0.8428,0.000126172,0.000126172,0.000126172
75,7379.42,0.47417,0.29031,0.84789,0.98359,0.9783,0.99079,0.90618,0.47744,0.28466,0.84118,0.000121667,0.000121667,0.000121667
76,7477.47,0.46042,0.28704,0.84301,0.98639,0.98456,0.99102,0.90334,0.48589,0.27668,0.8409,0.000117163,0.000117163,0.000117163
77,7575.65,0.45817,0.28307,0.84007,0.98675,0.98185,0.99166,0.90677,0.4788,0.27344,0.83894,0.000112658,0.000112658,0.000112658
78,7673.78,0.45424,0.28025,0.84136,0.98787,0.98094,0.99079,0.90373,0.48454,0.27559,0.83918,0.000108154,0.000108154,0.000108154
79,7772.1,0.4583,0.27982,0.84174,0.9876,0.98315,0.99175,0.90931,0.47633,0.27456,0.83878,0.000103649,0.000103649,0.000103649
80,7871.04,0.45063,0.27525,0.84107,0.98671,0.98361,0.99097,0.9092,0.47775,0.27722,0.84295,9.91445e-05,9.91445e-05,9.91445e-05
81,7969.26,0.45682,0.27851,0.8433,0.98637,0.98346,0.99113,0.90562,0.48609,0.27785,0.84267,9.464e-05,9.464e-05,9.464e-05
82,8067.43,0.44269,0.27373,0.83802,0.98584,0.98574,0.99083,0.90618,0.47695,0.27297,0.84128,9.01355e-05,9.01355e-05,9.01355e-05
83,8165.78,0.44272,0.27171,0.83512,0.98899,0.98352,0.991,0.90529,0.47783,0.26797,0.83759,8.5631e-05,8.5631e-05,8.5631e-05
84,8263.85,0.44735,0.27569,0.83771,0.98955,0.98182,0.99039,0.90773,0.46969,0.27078,0.83917,8.11265e-05,8.11265e-05,8.11265e-05
85,8361.93,0.44863,0.26955,0.83995,0.988,0.98071,0.98983,0.90789,0.47637,0.27799,0.84285,7.6622e-05,7.6622e-05,7.6622e-05
86,8460.19,0.43498,0.26608,0.83992,0.98567,0.98393,0.99095,0.91048,0.47157,0.2711,0.84162,7.21175e-05,7.21175e-05,7.21175e-05
87,8558.79,0.43824,0.26395,0.83924,0.98682,0.97966,0.99073,0.91071,0.47002,0.27581,0.83701,6.7613e-05,6.7613e-05,6.7613e-05
88,8657.78,0.42842,0.25843,0.83022,0.98689,0.98153,0.9921,0.91181,0.47025,0.2722,0.83993,6.31085e-05,6.31085e-05,6.31085e-05
89,8756.65,0.4314,0.26228,0.83758,0.98589,0.98307,0.99176,0.91289,0.46756,0.26715,0.83866,5.8604e-05,5.8604e-05,5.8604e-05
90,8855.53,0.42513,0.25877,0.83504,0.98774,0.98315,0.99165,0.91183,0.46935,0.26694,0.83959,5.40995e-05,5.40995e-05,5.40995e-05
91,8954.23,0.38464,0.2217,0.81458,0.98458,0.98284,0.99061,0.90826,0.47129,0.26926,0.8386,4.9595e-05,4.9595e-05,4.9595e-05
92,9052.25,0.38727,0.21745,0.81454,0.98555,0.98083,0.99029,0.90981,0.4685,0.27357,0.83727,4.50905e-05,4.50905e-05,4.50905e-05
93,9150.29,0.37739,0.21465,0.80731,0.98683,0.98349,0.99131,0.90952,0.46768,0.26444,0.83505,4.0586e-05,4.0586e-05,4.0586e-05
94,9248.36,0.37829,0.21651,0.81285,0.98686,0.98427,0.99166,0.91027,0.46497,0.26285,0.83337,3.60815e-05,3.60815e-05,3.60815e-05
95,9346.45,0.37484,0.21109,0.80656,0.98737,0.98398,0.99177,0.91185,0.46413,0.26381,0.83522,3.1577e-05,3.1577e-05,3.1577e-05
96,9444.28,0.37122,0.21019,0.81204,0.98607,0.98409,0.99145,0.91227,0.46404,0.26086,0.83554,2.70725e-05,2.70725e-05,2.70725e-05
97,9542.13,0.36681,0.2073,0.80593,0.98758,0.98389,0.99145,0.91258,0.46539,0.26056,0.83638,2.2568e-05,2.2568e-05,2.2568e-05
98,9640.04,0.36756,0.20782,0.80949,0.98619,0.98447,0.99152,0.91271,0.46122,0.25774,0.83625,1.80635e-05,1.80635e-05,1.80635e-05
99,9738.06,0.36388,0.20671,0.80815,0.98635,0.98272,0.99104,0.91329,0.46148,0.26022,0.83613,1.3559e-05,1.3559e-05,1.3559e-05
100,9836.52,0.36261,0.20445,0.80656,0.98702,0.98273,0.99089,0.91249,0.46176,0.25841,0.83476,9.0545e-06,9.0545e-06,9.0545e-06
